test	suite	shard	cycles	cpred_predicted	cpred_mispred_squash	cpred_btb_miss_redirect	ras_predicted	ras_mispred	indirect_predicted	indirect_mispred	fetch_resteer_to_bac	load_committed	lr_committed	store_committed	sc_committed	store_violation_squash	all_squashes
rv64ud-p-structural	p-	none	2027	0	15	48	0	0	0	0	2	0	0	1	0	0	46
rv64uf-p-fadd	p-	none	1912	0	3	7	0	0	0	0	1	40	0	1	0	0	36
rv64uf-p-fclass	p-	none	1217	0	3	7	0	0	0	0	1	0	0	1	0	0	26
rv64uf-p-fcmp	p-	none	2202	0	3	7	0	0	0	0	1	60	0	1	0	0	41
rv64uf-p-fcvt	p-	none	1611	0	3	7	0	0	0	0	1	8	0	1	0	0	34
rv64uf-p-fcvt_w	p-	none	3374	0	3	7	0	0	0	0	1	132	0	1	0	0	55
rv64uf-p-fdiv	p-	none	1664	0	3	7	0	0	0	0	1	28	0	1	0	0	33
rv64uf-p-fmadd	p-	none	2072	0	3	7	0	0	0	0	1	48	0	1	0	0	38
rv64uf-p-fmin	p-	none	2544	0	3	7	0	0	0	0	1	72	0	1	0	0	44
rv64uf-p-ldst	p-	none	1184	0	3	7	0	0	0	0	1	4	0	3	0	0	26
rv64uf-p-move	p-	none	1798	0	3	7	0	0	0	0	1	0	0	1	0	0	34
rv64uf-p-recoding	p-	none	1198	0	3	7	0	0	0	0	1	2	0	1	0	0	26
rv64ui-p-add	p-	none	2453	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-addi	p-	none	1630	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-addiw	p-	none	1621	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-addw	p-	none	2443	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-and	p-	none	2613	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-andi	p-	none	1609	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-auipc	p-	none	1053	0	1	9	0	0	0	0	1	0	0	1	0	0	24
rv64ui-p-beq	p-	none	2427	15	28	33	0	0	0	0	1	0	0	1	0	0	50
rv64ui-p-bge	p-	none	2726	18	37	42	0	0	0	0	1	0	0	1	0	0	59
rv64ui-p-bgeu	p-	none	2956	18	37	42	0	0	0	0	1	0	0	1	0	0	59
rv64ui-p-blt	p-	none	2429	15	28	33	0	0	0	0	1	0	0	1	0	0	50
rv64ui-p-bltu	p-	none	2643	15	28	33	0	0	0	0	1	0	0	1	0	0	50
rv64ui-p-bne	p-	none	2482	16	30	35	0	0	0	0	1	0	0	1	0	0	52
rv64ui-p-fence_i	p-	none	2022	161	10	12	0	0	0	1	1	2	0	5	0	0	38
rv64ui-p-jal	p-	none	1049	0	1	9	0	0	0	0	1	0	0	1	0	0	24
rv64ui-p-jalr	p-	none	1557	3	5	21	0	0	3	3	1	0	0	1	0	0	37
rv64ui-p-lb	p-	none	1671	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-lbu	p-	none	1671	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-ld	p-	none	2066	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-ld_st	p-	none	4478	0	22	157	0	0	0	0	1	277	0	278	0	0	137
rv64ui-p-lh	p-	none	1711	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-lhu	p-	none	1717	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-lui	p-	none	1065	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64ui-p-lw	p-	none	1731	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-lwu	p-	none	1797	6	9	13	0	0	0	0	1	24	0	1	0	0	30
rv64ui-p-ma_data	p-	none	7851	0	3	211	0	0	0	0	1	180	0	136	0	0	197
rv64ui-p-or	p-	none	2670	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-ori	p-	none	1591	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sb	p-	none	2292	12	14	27	0	0	0	0	1	34	0	36	0	1	38
rv64ui-p-sd	p-	none	2616	12	14	27	0	0	0	0	1	34	0	35	0	1	38
rv64ui-p-sh	p-	none	2362	12	14	27	0	0	0	0	1	34	0	36	0	1	38
rv64ui-p-simple	p-	none	1003	0	2	6	0	0	0	0	1	0	0	1	0	0	23
rv64ui-p-sll	p-	none	2573	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-slli	p-	none	1691	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-slliw	p-	none	1685	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sllw	p-	none	2577	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-slt	p-	none	2431	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-slti	p-	none	1617	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sltiu	p-	none	1617	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sltu	p-	none	2469	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-sra	p-	none	2524	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-srai	p-	none	1654	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sraiw	p-	none	1755	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-sraw	p-	none	2595	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-srl	p-	none	2619	15	18	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-srli	p-	none	1715	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-srliw	p-	none	1703	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64ui-p-srlw	p-	none	2583	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-st_ld	p-	none	1993	0	3	7	0	0	0	0	1	70	0	71	0	0	24
rv64ui-p-sub	p-	none	2437	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-subw	p-	none	2429	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-sw	p-	none	2382	12	15	27	0	0	0	0	2	34	0	35	0	1	38
rv64ui-p-xor	p-	none	2664	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ui-p-xori	p-	none	1595	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64um-p-div	p-	none	1157	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-divu	p-	none	1167	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-divuw	p-	none	1147	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-divw	p-	none	1139	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-mul	p-	none	2465	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64um-p-mulh	p-	none	2471	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64um-p-mulhsu	p-	none	2471	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64um-p-mulhu	p-	none	2531	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64um-p-mulw	p-	none	2330	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64um-p-rem	p-	none	1131	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-remu	p-	none	1133	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-remuw	p-	none	1129	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64um-p-remw	p-	none	1139	0	3	7	0	0	0	0	1	0	0	1	0	0	24
rv64uzba-p-add_uw	p-	none	2455	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh1add	p-	none	2461	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh1add_uw	p-	none	2469	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh2add	p-	none	2461	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh2add_uw	p-	none	2469	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh3add	p-	none	2461	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-sh3add_uw	p-	none	2469	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzba-p-slli_uw	p-	none	1719	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbb-p-andn	p-	none	2655	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-clz	p-	none	1497	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-clzw	p-	none	1465	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-cpop	p-	none	1497	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-cpopw	p-	none	1465	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-ctz	p-	none	1497	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-ctzw	p-	none	1467	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-max	p-	none	2441	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-maxu	p-	none	2503	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-min	p-	none	2433	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-minu	p-	none	2482	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-orc_b	p-	none	1539	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-orn	p-	none	2673	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-rev8	p-	none	1572	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-rol	p-	none	2584	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-rolw	p-	none	2586	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-ror	p-	none	2645	15	18	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-rori	p-	none	1712	6	8	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbb-p-roriw	p-	none	1625	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbb-p-rorw	p-	none	2513	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-sext_b	p-	none	1497	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-sext_h	p-	none	1503	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbb-p-xnor	p-	none	2671	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbb-p-zext_h	p-	none	1509	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbc-p-clmul	p-	none	2467	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbc-p-clmulh	p-	none	2478	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbc-p-clmulr	p-	none	2473	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbkb-p-brev8	p-	none	1537	3	7	10	0	0	0	0	1	0	0	1	0	0	27
rv64uzbkb-p-pack	p-	none	2913	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbkb-p-packh	p-	none	2583	15	18	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbkb-p-packw	p-	none	2443	15	18	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbkx-p-xperm4	p-	none	2769	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbkx-p-xperm8	p-	none	3598	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbs-p-bclr	p-	none	2796	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbs-p-bclri	p-	none	1779	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbs-p-bext	p-	none	2661	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbs-p-bexti	p-	none	1711	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbs-p-binv	p-	none	2631	15	18	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbs-p-binvi	p-	none	1715	6	8	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzbs-p-bset	p-	none	2800	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzbs-p-bseti	p-	none	1793	6	9	13	0	0	0	0	1	0	0	1	0	0	30
rv64uzfh-p-fadd	p-	none	1912	0	3	7	0	0	0	0	1	40	0	1	0	0	36
rv64uzfh-p-fclass	p-	none	1218	0	3	7	0	0	0	0	1	0	0	1	0	0	26
rv64uzfh-p-fcmp	p-	none	1554	0	3	7	0	0	0	0	1	24	0	1	0	0	32
rv64uzfh-p-fcvt	p-	none	1786	0	3	7	0	0	0	0	1	16	0	1	0	0	36
rv64uzfh-p-fcvt_w	p-	none	3374	0	3	7	0	0	0	0	1	132	0	1	0	0	55
rv64uzfh-p-fdiv	p-	none	1664	0	3	7	0	0	0	0	1	28	0	1	0	0	33
rv64uzfh-p-fmadd	p-	none	2072	0	3	7	0	0	0	0	1	48	0	1	0	0	38
rv64uzfh-p-fmin	p-	none	2544	0	3	7	0	0	0	0	1	72	0	1	0	0	44
rv64uzfh-p-ldst	p-	none	1196	0	3	7	0	0	0	0	1	4	0	3	0	0	26
rv64uzfh-p-move	p-	none	1793	0	3	7	0	0	0	0	1	0	0	1	0	0	34
rv64uzfh-p-recoding	p-	none	1198	0	3	7	0	0	0	0	1	2	0	1	0	0	26
rv64uziccid-p-ziccid	p-	none	8066	545	145	523	0	0	0	0	1	0	0	105	0	0	475
rv64uzicond-p-czero_eqz	p-	none	2389	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64uzicond-p-czero_nez	p-	none	2377	15	19	22	0	0	0	0	1	0	0	1	0	0	39
rv64ua-v-amoadd_d	v-	15/18	28490	1580	364	307	0	0	217	10	1	2891	0	1987	0	0	484
rv64ua-v-amoadd_w	v-	16/18	28584	1600	363	300	0	0	215	9	1	2891	0	1987	0	1	484
rv64ua-v-amoand_d	v-	17/18	28458	1579	368	307	0	0	216	9	1	2895	0	1987	0	1	489
rv64ua-v-amoand_w	v-	18/18	28363	1572	359	310	0	0	215	10	1	2895	0	1987	0	1	480
rv64ua-v-amomax_d	v-	1/18	28591	1592	379	313	0	0	215	9	1	2889	0	1988	0	0	499
rv64ua-v-amomax_w	v-	4/18	28590	1585	375	313	0	0	215	9	1	2890	0	1989	0	0	495
rv64ua-v-amomaxu_d	v-	2/18	28591	1592	379	313	0	0	215	9	1	2889	0	1988	0	0	499
rv64ua-v-amomaxu_w	v-	3/18	28590	1585	375	313	0	0	215	9	1	2890	0	1989	0	0	495
rv64ua-v-amomin_d	v-	5/18	28591	1592	379	313	0	0	215	9	1	2889	0	1988	0	0	499
rv64ua-v-amomin_w	v-	8/18	28647	1594	372	311	0	0	218	10	1	2896	0	1989	0	0	492
rv64ua-v-amominu_d	v-	6/18	28549	1585	371	312	0	0	216	10	1	2891	0	1988	0	0	491
rv64ua-v-amominu_w	v-	7/18	28606	1586	372	313	0	0	216	10	1	2892	0	1989	0	0	492
rv64ua-v-amoor_d	v-	9/18	28553	1590	374	312	0	0	215	9	1	2889	0	1987	0	1	495
rv64ua-v-amoor_w	v-	10/18	28553	1590	374	312	0	0	215	9	1	2889	0	1987	0	1	495
rv64ua-v-amoswap_d	v-	11/18	28544	1582	370	312	0	0	216	10	1	2895	0	1987	0	1	491
rv64ua-v-amoswap_w	v-	12/18	28363	1572	359	310	0	0	215	10	1	2895	0	1987	0	1	480
rv64ua-v-amoxor_d	v-	13/18	28615	1600	368	301	0	0	214	9	1	2889	0	1987	0	1	489
rv64ua-v-amoxor_w	v-	14/18	28473	1579	361	299	0	0	216	9	1	2889	0	1987	0	1	482
rv64ua-v-lrsc	v-	15/18	44457	3554	367	299	0	0	216	12	1	2891	1025	1986	1028	71	558
rv64uc-v-rvc	v-	14/18	38076	2803	474	403	0	0	431	6	10	4535	0	2601	0	0	628
rv64ud-v-fadd	v-	9/18	27548	2417	271	254	0	0	206	8	1	3395	0	1433	0	0	389
rv64ud-v-fclass	v-	10/18	17890	1105	195	186	0	0	93	3	1	1726	0	822	0	0	272
rv64ud-v-fcmp	v-	11/18	27830	2417	271	254	0	0	206	8	1	3415	0	1433	0	0	394
rv64ud-v-fcvt	v-	12/18	27669	2419	273	258	0	0	208	8	1	3372	0	1433	0	0	392
rv64ud-v-fcvt_w	v-	13/18	38352	3729	346	326	0	0	316	12	1	5136	0	2044	0	0	522
rv64ud-v-fdiv	v-	14/18	27375	2417	271	254	0	0	206	8	1	3387	0	1433	0	0	387
rv64ud-v-fmadd	v-	15/18	27711	2417	271	254	0	0	206	8	1	3403	0	1433	0	0	391
rv64ud-v-fmin	v-	16/18	28180	2417	271	254	0	0	206	8	1	3427	0	1433	0	0	397
rv64ud-v-ldst	v-	17/18	27595	1622	291	240	0	0	226	11	1	2901	0	1991	0	0	410
rv64ud-v-move	v-	18/18	28574	2435	276	259	0	0	208	7	1	3355	0	1433	0	0	386
rv64ud-v-recoding	v-	1/18	27405	1674	263	264	0	0	213	8	1	2908	0	1987	0	0	388
rv64ud-v-structural	v-	2/18	17893	1088	191	240	0	0	76	5	2	1726	0	822	0	0	273
rv64uf-v-fadd	v-	16/18	27548	2417	271	254	0	0	206	8	1	3395	0	1433	0	0	389
rv64uf-v-fclass	v-	17/18	17874	1105	196	186	0	0	93	3	1	1726	0	822	0	0	272
rv64uf-v-fcmp	v-	18/18	27830	2417	271	254	0	0	206	8	1	3415	0	1433	0	0	394
rv64uf-v-fcvt	v-	1/18	27448	2419	273	257	0	0	208	8	1	3363	0	1433	0	0	390
rv64uf-v-fcvt_w	v-	2/18	38014	3729	346	326	0	0	316	12	1	5116	0	2044	0	0	517
rv64uf-v-fdiv	v-	3/18	27297	2417	271	254	0	0	206	8	1	3383	0	1433	0	0	386
rv64uf-v-fmadd	v-	4/18	27711	2417	271	254	0	0	206	8	1	3403	0	1433	0	0	391
rv64uf-v-fmin	v-	5/18	28180	2417	271	254	0	0	206	8	1	3427	0	1433	0	0	397
rv64uf-v-ldst	v-	6/18	28451	1598	366	311	0	0	217	8	1	2903	0	1988	0	0	487
rv64uf-v-move	v-	7/18	18449	1120	204	196	0	0	93	5	1	1726	0	822	0	0	287
rv64uf-v-recoding	v-	8/18	26956	2424	274	257	0	0	206	7	1	3357	0	1433	0	0	384
rv64ui-v-add	v-	1/18	19198	1126	226	213	0	0	86	6	1	1726	0	822	0	0	300
rv64ui-v-addi	v-	2/18	18386	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-addiw	v-	3/18	18380	1108	208	201	0	0	93	3	1	1726	0	822	0	0	282
rv64ui-v-addw	v-	4/18	19159	1129	226	212	0	0	94	5	1	1726	0	822	0	0	299
rv64ui-v-and	v-	7/18	18810	1097	210	217	0	0	81	6	1	1726	0	822	0	0	279
rv64ui-v-andi	v-	8/18	18215	1112	203	192	0	0	94	6	1	1726	0	822	0	0	274
rv64ui-v-auipc	v-	12/18	17739	1109	195	193	0	0	103	3	1	1726	0	822	0	0	270
rv64ui-v-beq	v-	13/18	19088	1125	230	222	0	0	93	4	1	1726	0	822	0	0	303
rv64ui-v-bge	v-	14/18	19370	1113	205	223	0	0	108	5	1	1726	0	822	0	0	303
rv64ui-v-bgeu	v-	15/18	18980	1110	224	235	0	0	72	5	1	1726	0	822	0	0	300
rv64ui-v-blt	v-	16/18	19091	1125	230	222	0	0	93	4	1	1726	0	822	0	0	303
rv64ui-v-bltu	v-	17/18	18683	1098	195	216	0	0	73	5	1	1726	0	822	0	0	282
rv64ui-v-bne	v-	18/18	19177	1120	231	224	0	0	85	5	1	1726	0	822	0	0	308
rv64ui-v-fence_i	v-	17/18	28930	1630	386	306	0	0	282	6	1	2901	0	1990	0	0	507
rv64ui-v-jal	v-	1/18	17763	1107	206	204	0	0	93	3	1	1726	0	822	0	0	281
rv64ui-v-jalr	v-	2/18	18100	1108	205	214	0	0	88	7	1	1726	0	822	0	0	291
rv64ui-v-lb	v-	3/18	27540	2438	295	276	0	0	207	9	1	3379	0	1433	0	0	402
rv64ui-v-lbu	v-	4/18	27540	2438	295	276	0	0	207	9	1	3379	0	1433	0	0	402
rv64ui-v-ld	v-	9/18	28061	2450	284	265	0	0	210	7	1	3379	0	1433	0	0	392
rv64ui-v-ld_st	v-	14/18	49466	4303	558	603	0	0	301	14	1	6422	0	3485	0	0	798
rv64ui-v-lh	v-	5/18	27627	2438	296	276	0	0	207	9	1	3379	0	1433	0	0	403
rv64ui-v-lhu	v-	6/18	27561	2434	292	272	0	0	209	9	1	3379	0	1433	0	0	399
rv64ui-v-lui	v-	11/18	17187	1154	128	128	0	0	93	6	1	1726	0	822	0	0	200
rv64ui-v-lw	v-	7/18	27536	2434	280	263	0	0	208	7	1	3379	0	1433	0	0	389
rv64ui-v-lwu	v-	8/18	27598	2434	280	263	0	0	208	7	1	3379	0	1433	0	0	389
rv64ui-v-ma_data	v-	18/18	50418	4373	395	534	0	0	302	15	1	6327	0	3343	0	0	666
